Time,CongestionWindow
1.04004,15400
1.29238,16800
1.35389,18200
1.61366,19600
1.87878,21000
2.13148,22400
2.39058,23800
2.65037,25200
2.9431,26600
3.2339,28000
3.55378,29400
3.8853,30800
4.23426,32200
4.38547,33600
4.77514,35000
5.14155,36400
5.56612,37800
6.00232,39200
6.44434,40600
6.92706,42000
7.42724,43400
7.93323,44800
8.45667,46200
8.98593,47600
9.55008,49000
10.1259,50400
10.7191,51800
11.3065,53200
11.5217,51800
12.8012,53200
13.441,54600
14.0633,56000
14.7205,57400
15.3952,58800
16.1163,60200
16.2036,59927
16.2269,61054
16.2502,62181
16.3607,63308
16.3665,64435
16.4479,65561
16.4537,66688
16.4886,67815
16.4944,68942
16.5526,70069
16.5584,71196
16.5759,72322
16.5817,73449
16.5991,74576
16.6049,75703
16.6224,76830
16.6282,77957
16.6573,79083
16.6631,80210
16.6864,81337
16.6922,82464
16.7038,82327
16.7096,82191
16.7154,82054
16.7213,81918
16.7387,81781
16.7445,81644
16.762,81508
16.7678,81371
16.7852,81235
16.791,81098
16.7969,80961
16.8027,80825
16.8085,80688
16.8259,80552
16.8318,80415
16.8376,80279
16.8434,80142
16.8608,78400
16.8667,77000
16.8725,75600
16.8899,74200
16.8957,51800
17.4599,50400
18.8964,51800
19.4896,53200
20.0247,54600
20.4551,56000
20.8913,57400
21.3507,58800
21.8277,60200
22.3278,61600
22.8455,63000
23.3863,64400
23.9389,65800
24.5146,67200
25.1021,68600
25.7011,70000
26.3351,71400
26.969,72800
27.6378,74200
28.3067,75600
29.0046,77000
29.7025,78400
29.9468,77467
29.9527,77934
29.9585,78400
29.9643,78867
29.9701,79334
29.9759,79800
29.9817,80267
29.9875,80734
29.9934,81200
30.0166,81667
30.0283,82134
30.0516,82600
30.069,83067
30.0865,82134
30.0981,82600
30.1098,81667
30.1214,82134
30.1272,82600
30.133,83067
30.1388,83534
30.1447,84000
30.1505,84467
30.1796,84934
30.1854,85400
30.2726,85867
30.2784,86334
30.3075,86800
30.3133,86334
30.3191,85867
30.3482,85400
30.354,84934
30.3715,84467
30.3773,84000
30.3948,82600
30.4006,81200
30.418,79800
30.4238,78400
30.4413,77000
30.4471,75600
30.4645,74200
30.4704,72800
30.4878,71400
30.4936,70000
30.5111,68600
30.5169,67200
30.5227,65800
30.5285,64400
30.5343,63000
30.5402,61600
30.546,60200
30.5518,58800
30.5576,57400
30.5634,56000
30.5692,54600
30.575,53200
30.5808,51800
30.5866,50400
31.2961,51800
31.8312,53200
32.3895,54600
32.9478,56000
33.5411,57400
34.111,58800
34.745,60200
35.3382,61600
36.0071,63000
36.6701,64400
37.368,65800
37.653,65240
37.6879,66080
37.7112,66920
37.7286,67760
37.7694,68600
37.7752,69440
37.8043,70280
37.8101,71120
37.8217,71960
37.845,72800
37.8973,73640
37.9031,74480
38.0194,75320
38.0253,76160
38.0311,77000
38.0427,77840
38.0485,78680
38.0543,79520
38.0602,80360
38.066,81200
38.0718,82040
38.0951,82880
38.1009,83720
38.1067,83440
38.1125,83160
38.1416,82880
38.1474,82600
38.1648,82320
38.1707,82040
38.1939,81760
38.2172,81480
38.2346,81200
38.2405,80920
38.2463,80640
38.2521,80360
38.2695,80080
38.2753,79800
38.2812,78400
38.287,77000
38.2928,75600
38.2986,74200
38.3044,72800
38.3219,71400
38.3277,70000
38.3451,68600
38.351,67200
38.3858,50400
38.6592,49000
40.2586,50400
40.8518,51800
41.445,53200
42.0673,54600
42.7245,56000
43.3876,57400
44.0739,58800
44.7718,60200
45.4872,59791
45.493,60781
45.5105,61771
45.5279,62761
45.5337,63752
45.5628,64742
45.5919,65732
45.5977,66722
45.6035,66313
45.6385,67303
45.6618,68293
45.6908,67883
45.7083,68874
45.7257,68464
45.7315,69454
45.7606,70444
45.7664,71435
45.7839,72425
45.7897,73415
45.813,74405
45.8188,75396
45.8828,75191
45.8886,74986
45.9118,74781
45.9177,74576
45.9293,74371
45.9467,74166
45.9758,73961
45.9816,73757
46.0282,73552
46.034,73347
46.0689,73142
46.0747,72937
46.1096,72732
46.1154,72527
46.1387,72322
46.1445,72118
46.1619,71913
46.1794,71708
46.2026,71503
46.2201,71298
46.2375,68600
46.255,67200
46.2724,65800
46.2899,64400
46.3073,63000
46.3248,61600
46.3422,58800
46.3597,57400
46.3771,56000
46.3946,54600
46.412,53200
46.4295,50400
46.4469,49000
47.2026,1400
48.0331,2800
48.3187,4200
48.5909,5600
48.7968,7000
49.0739,8400
49.3647,9800
49.4752,11200
49.7834,12600
50.0103,14000
50.3534,15400
50.7198,16800
51.0768,18200
51.4723,19600
51.6853,21000
52.1098,22400
52.4239,23800
52.8834,25200
53.3661,26600
53.8488,28000
54.3548,29400
54.8899,30800
55.4017,32200
55.9019,33600
56.3846,35000
56.8382,36400
57.2977,37800
57.5652,39200
57.922,40600
58.2302,42000
58.585,43400
58.8234,44800
59.1957,46200
59.5853,47600
