Time,CongestionWindow
1.19336,15400
1.21663,18200
1.23989,21000
1.26315,23800
1.28642,26600
1.49805,28000
1.55482,30800
1.57808,33600
1.60135,36400
1.62461,39200
1.64787,42000
1.67114,44800
1.6944,47600
1.71767,50400
1.74093,53200
2.11315,56000
2.20621,58800
2.22947,61600
2.25274,64400
2.276,67200
2.29927,70000
2.34579,72800
2.36906,75600
2.39232,78400
2.41559,81200
2.43885,84000
2.49709,82649
2.53198,82697
2.55525,82745
2.57851,82794
2.60177,82842
2.62504,82890
2.64838,82938
2.67164,82987
2.6949,81635
2.71824,81683
2.72987,81732
3.05557,80380
3.0672,80428
3.1021,80476
3.13699,80525
3.21842,80573
3.23005,80621
3.25331,80669
3.27658,80718
3.29984,80766
3.32311,80814
3.34637,80863
3.36963,80911
3.3929,80959
3.45106,81007
3.48595,81056
3.50922,79704
3.53248,79752
3.55575,79800
3.57901,79125
3.60227,78449
3.66043,76373
3.69533,74297
3.73023,72221
3.73189,1400
4.69568,2800
5.02154,4200
5.03317,5600
5.3518,7000
5.36343,8400
5.37506,9800
5.38669,11200
5.69663,12600
5.70826,14000
5.71989,15400
5.73152,16800
5.74315,18200
5.75479,19600
5.76642,21000
5.77805,22400
6.07037,23800
6.082,25200
6.09363,26600
6.10526,28000
6.11689,29400
6.12853,30800
6.14016,32200
6.15171,33600
6.18654,36110
6.77977,37510
7.38463,38910
8.04766,40310
8.69905,41710
9.39697,43110
10.1182,44510
10.8975,45910
11.7001,47310
12.747,48710
13.631,50110
14.5616,51510
15.7015,52910
15.9691,50512
15.9808,50624
15.9924,50736
16.004,50847
16.0157,50959
16.0274,51071
16.039,51182
16.0506,49894
16.0623,50006
16.0739,50118
16.0855,50229
16.0971,50341
16.1088,50453
16.1204,50564
16.1553,50676
16.3182,50788
16.3647,50900
16.3763,51011
16.3996,50367
16.4112,49723
16.609,49079
16.6206,48435
16.6439,47791
16.6787,47146
16.7136,46502
16.7485,45858
16.7718,45214
16.7951,44570
16.8184,43926
16.8417,43282
16.8649,41237
16.8882,40593
16.8998,39949
16.9231,39305
16.9347,38661
16.9464,38017
16.958,37373
16.9696,35328
16.9813,34684
16.9929,34040
17.0044,33396
17.0161,32752
17.0277,32108
17.0393,31464
17.051,30819
17.1092,30175
17.1906,28131
17.2372,26455
17.749,27855
17.7606,26748
17.7955,25495
17.8071,25643
17.8187,25017
17.8303,25164
17.8419,25311
17.8536,25459
17.8652,25606
18.0164,24980
18.121,24354
18.1675,23101
18.3769,21849
18.4467,20596
18.4699,19344
18.4932,13927
18.7607,15327
19.5423,16727
20.1449,18127
20.7963,19527
21.5757,20927
22.2852,22327
23.0995,23727
23.8672,25127
24.7163,26527
25.5771,27927
26.4611,29327
27.58,30727
28.4967,32127
29.4622,33527
30.4393,34927
31.1488,36327
31.8816,37727
32.6493,39127
33.4868,40527
34.336,41927
35.22,43327
36.1273,44727
37.1509,46127
38.128,47527
39.0354,44934
39.047,45067
39.0935,45200
39.1168,45333
39.1633,45466
39.1866,45599
39.2331,45732
39.2564,45865
39.3029,45998
39.3262,46131
39.3727,46265
39.396,46398
39.4541,46531
39.489,46664
39.5239,46797
39.5472,46930
39.5937,46297
39.6868,45663
39.6984,45030
39.7217,44396
39.7333,43763
39.7682,43129
39.7798,42496
39.8031,41862
39.8147,41229
39.8264,40596
39.8496,39962
39.8729,39329
39.8961,38695
39.9427,38062
39.9544,37428
39.9632,1400
40.0008,2800
40.8289,4200
41.145,7000
41.3566,8400
41.472,11200
41.4952,14000
41.7034,16800
41.8061,18714
41.8294,20114
42.219,21514
42.696,22914
43.2078,24314
43.7196,25714
44.2779,27114
44.8944,28514
45.5342,29914
46.2321,31314
46.93,32714
47.6628,34114
48.4422,35514
49.4564,36914
50.3033,38314
51.1989,39714
52.1179,41114
53.1299,42514
54.1069,43914
55.1073,45314
56.1542,46714
57.236,48114
58.3526,49514
58.8645,47701
58.8761,47801
58.8994,47902
58.9576,48002
59.0042,48103
59.0275,46803
59.202,45503
59.2136,45604
59.2601,45704
59.2718,45805
59.3067,45905
59.3183,46006
59.3299,46106
59.3532,46206
59.3765,46307
59.3997,46407
59.4346,46508
59.4812,45858
59.516,45208
59.5509,44558
59.5858,43909
59.6207,43259
59.644,42609
59.6673,41959
59.7138,41309
59.7603,40660
59.7836,40010
59.8068,39360
59.8301,38710
59.8534,38060
59.8766,37411
59.9232,36761
59.9581,36111
59.9813,35461
